slug,question,answer,body,keywords,related,status
#help,the exact phrase a person would type into Google,2-3 sentences. Google lifts this as the snippet. At least 200 characters,"the fuller answer. Blank line = new paragraph. ## heading, - bullet, **bold**","comma separated, for the meta tag","slugs of other rows,comma separated",live or draft — only live is published
how-to-say-i-am-hungry-in-hindi,How do you say I am hungry in Hindi?,"**मुझे भूख लगी है** (mujhe bhookh lagi hai). Literally that is ""to me hunger has attached"" — Hindi treats hunger as something that happens to you, not something you are. Saying *main bhookha hoon* is understood but sounds like a translation.","## Why the grammar looks backwards

A whole family of everyday feelings works this way in Hindi: hunger, thirst, cold, fever, even liking something. The person is the *recipient*, not the subject.

- मुझे भूख लगी है — I am hungry
- मुझे प्यास लगी है — I am thirsty
- मुझे ठंड लग रही है — I am cold

Once you notice the shape, all of them arrive at once.

## In a restaurant

You will more often need **खाना चाहिए** (khaana chahiye) — food is needed. Short, polite, and it works anywhere.","i am hungry in hindi, bhookh lagi hai, hindi phrases food",,live
example-draft-row,This row is a draft and will not be published,"Set status to live when you are ready. A draft row is skipped entirely — it does not appear on the site, in the sitemap or anywhere else, so you can write a page over several days without publishing half of it.",,,,draft
how-to-say-goodbye-in-hindi,How do you say goodbye in Hindi?,"नमस्ते (namaste) is goodbye as well as hello — the same word does both, and it is never wrong. फिर मिलेंगे (phir milenge) means ""we will meet again"" and is the warm, ordinary way to leave. अलविदा (alvida) is a real word but a heavy one: it carries finality, so Hindi speakers save it for partings that matter and most learners should avoid it entirely.","## The one that always works

नमस्ते. It opens a conversation and it closes one. Palms together, slight dip of the head, done. Nobody has ever been thought rude for saying namaste on the way out.

## What people actually say

- **फिर मिलेंगे** (phir milenge) — ""we'll meet again"". Neutral, friendly, correct with almost anyone.
- **चलता हूँ** (chalta hoon) if you are male, **चलती हूँ** (chalti hoon) if female — literally ""I'm off"". Casual, very common, slightly abrupt with an elder.
- **बाय** (bye) — yes, really. Urban India uses English ""bye"" constantly, and no one will think less of you.

## The word to be careful with

अलविदा (alvida) is what films use when someone is leaving for good. Using it to end a Tuesday lesson is like saying ""farewell"" to a colleague at 5pm — grammatically fine, tonally strange.

## Adding respect

Attach जी (ji): नमस्ते जी. One syllable, noticeably warmer. It works on almost any greeting in Hindi and is the cheapest politeness upgrade in the language.","goodbye in hindi, how to say bye in hindi, alvida meaning, phir milenge, hindi farewell","how-to-say-hello-in-hindi-question,how-to-say-thank-you-in-hindi",live
hindi-numbers-1-to-100,How do you count to 100 in Hindi?,"Hindi numbers are learnt, not built. English gives you twenty-one from ""twenty"" plus ""one""; Hindi gives you इक्कीस (ikkis), which you simply have to know. There are effectively 100 separate words. The good news is that the tens are regular, patterns rhyme in blocks, and most conversation only ever needs 1–20, the round tens, and prices.","## Why this is harder than it looks

Most languages let you assemble numbers. Hindi largely does not. 21 is *ikkis*, 22 is *baais*, 23 is *teis* — each one an independent word, worn down over centuries from Sanskrit compounds.

## Start with these

**1–10:** एक ek, दो do, तीन teen, चार chaar, पाँच paanch, छह chhah, सात saat, आठ aath, नौ nau, दस das

**The tens:** दस das (10), बीस bees (20), तीस tees (30), चालीस chaalees (40), पचास pachaas (50), साठ saath (60), सत्तर sattar (70), अस्सी assee (80), नब्बे nabbe (90), सौ sau (100)

## The trick that saves you

Within each block of ten, the ending rhymes with the coming ten, not the current one. 29 is उनतीस (untees) — it leans on *tees* (30), not *bees* (20). Same for 39 (उनतालीस, untaalees), 49, and so on. Once you hear that, the nines stop feeling random.

## What you actually need first

Numbers 1–20, the round tens, and सौ (100) and हज़ार (thousand). That covers prices, ages, times and phone numbers — which is most of what a number is for in a conversation.

## In shops

Prices are usually said in full: दो सौ पचास (do sau pachaas) is 250. Listen for सौ (hundred) as the pivot; everything before it is the multiplier and everything after is the remainder.","hindi numbers, count in hindi, hindi numbers 1 to 100, hindi counting, ek do teen","how-to-count-1-to-10-in-hindi,hindi-words-every-beginner-should-know",live
hindi-days-of-the-week,What are the days of the week in Hindi?,"सोमवार somvaar (Monday), मंगलवार mangalvaar (Tuesday), बुधवार budhvaar (Wednesday), गुरुवार guruvaar (Thursday), शुक्रवार shukravaar (Friday), शनिवार shanivaar (Saturday), रविवार ravivaar (Sunday). Every one ends in -वार (-vaar), meaning ""day"", and each is named after a planet — exactly as the English days are, which is why the two sets line up perfectly.","## The pattern that makes them easy

Strip -वार off and what remains is a planet. Som is the Moon, Mangal is Mars, Budh is Mercury, Guru is Jupiter, Shukra is Venus, Shani is Saturn, Ravi is the Sun.

Now compare English: Monday is Moon-day, Saturday is Saturn's day, Sunday is Sun's day. Both systems inherited the same Babylonian week. You are not memorising seven random words — you are matching two lists you half know already.

## Saying ""on Monday""

Add को (ko): सोमवार को (somvaar ko) means ""on Monday"". Same particle for every day.

## Today, tomorrow, yesterday

- आज (aaj) — today
- कल (kal) — **both** tomorrow and yesterday
- परसों (parson) — **both** the day after tomorrow and the day before

This surprises everyone. The verb tense tells you which: *kal aaya* (kal + past) is yesterday, *kal aayega* (kal + future) is tomorrow. Hindi treats ""one day away"" as the unit and lets the sentence supply the direction.

## Booking a lesson

""मंगलवार को शाम सात बजे"" (mangalvaar ko shaam saat baje) — Tuesday at 7 in the evening. Day + को + time + बजे is the whole formula.","days of week in hindi, hindi days, somvaar, hindi weekdays, monday in hindi","hindi-months-and-seasons,how-to-tell-the-time-in-hindi",live
how-to-tell-the-time-in-hindi,How do you tell the time in Hindi?,"Use बजे (baje) for the hour: तीन बजे (teen baje) is three o'clock. Half past is साढ़े (saadhe) before the hour — साढ़े तीन is 3:30 — but half past one and two are irregular, डेढ़ (dedh) and ढाई (dhai). Quarter past is सवा (sawa) and quarter to is पौने (paune), both placed before the hour.","## The four words that cover most times

- **बजे** (baje) — o'clock. *paanch baje*, five o'clock.
- **सवा** (sawa) — quarter past. *sawa paanch*, 5:15.
- **साढ़े** (saadhe) — half past. *saadhe paanch*, 5:30.
- **पौने** (paune) — quarter to. *paune chhah*, 5:45 — note it counts toward SIX, not five.

That last one catches people out. पौने is ""three quarters of"", so it always names the hour you are approaching.

## The two you must simply memorise

- **डेढ़** (dedh) — 1:30. Not *saadhe ek*.
- **ढाई** (dhai) — 2:30. Not *saadhe do*.

These two are ancient contractions and there is no logic to recover. Everything from 3:30 onward is regular.

## Minutes

बजकर (bajkar) for past, बजने में (bajne mein) for to:
*paanch bajkar bees minute* — twenty past five.

In practice most people round to the nearest quarter and use the words above.

## Morning, afternoon, evening, night

सुबह (subah), दोपहर (dopahar), शाम (shaam), रात (raat) — placed **before** the time: शाम सात बजे, seven in the evening. Hindi rarely uses a 24-hour clock in speech, so this is how you avoid ambiguity.

## Booking a lesson

""क्या हम साढ़े छह बजे कर सकते हैं?"" — can we do 6:30? Worth learning as a block; it is the sentence you will use most with a tutor.","time in hindi, how to tell time in hindi, baje meaning, saadhe hindi, hindi clock","hindi-days-of-the-week,hindi-numbers-1-to-100",live
hindi-months-and-seasons,What are the months and seasons in Hindi?,"Everyday Hindi uses the English month names, pronounced with Hindi sounds — जनवरी (janvari), फ़रवरी (farvari), मार्च (maarch). There is also a traditional Hindu calendar with its own months (चैत्र, वैशाख…), but those appear in festivals and almanacs rather than in conversation. The six seasons, however, are used constantly and have no English equivalent.","## Months: use the English ones

In speech, on forms, in shops — जनवरी, फ़रवरी, मार्च, अप्रैल, मई, जून, जुलाई, अगस्त, सितंबर, अक्टूबर, नवंबर, दिसंबर. Learn to *read* them in Devanagari and you are done.

The traditional months (Chaitra, Vaishakh, Jyeshtha…) run on a lunisolar calendar and matter for festivals. Holi falls in Phalgun; Diwali in Kartik. You do not need them to speak, but you will meet them the first time someone explains a festival date.

## Seasons: six, not four

This is the part worth learning, because it is genuinely different.

- **वसंत** (vasant) — spring
- **ग्रीष्म** (greeshm) — summer
- **वर्षा** (varsha) — the monsoon
- **शरद** (sharad) — early autumn, after the rains
- **हेमंत** (hemant) — pre-winter
- **शिशिर** (shishir) — deep winter

Six seasons of two months each. It maps the north Indian year far better than four does, and the monsoon in particular is not a season English has a word for.

## In conversation

Most people say मौसम (mausam, weather) and name three: गर्मी (garmi, the hot season), सर्दी (sardi, the cold one), बरसात (barsaat, the rains). Learn those three first — they are what you will actually hear.

## Saying ""in January""

जनवरी में (janvari mein). में covers ""in"" for months, years and seasons alike.","hindi months, months in hindi, hindi seasons, six seasons india, mausam hindi","hindi-days-of-the-week,how-to-tell-the-time-in-hindi",live
hindi-colours-list,What are the colours in Hindi?,"लाल laal (red), नीला neela (blue), हरा hara (green), पीला peela (yellow), काला kaala (black), सफ़ेद safed (white), नारंगी naarangi (orange), गुलाबी gulaabi (pink), भूरा bhoora (brown), बैंगनी baingani (purple). Most colours ending in -आ change with gender: लाल stays लाल, but हरा becomes हरी for a feminine noun.","## The gender rule, in one line

Colours ending in **-आ** change: हरा (hara) → हरी (hari) → हरे (hare). Colours ending in anything else — लाल, सफ़ेद, नारंगी, गुलाबी — never change at all.

So: हरा आम (green mango, masculine) but हरी मिर्च (green chilli, feminine). Same colour, different ending, because the *noun* decided.

## Colours named after things

Hindi is lovely about this and it makes them easy to remember:

- **नारंगी** (naarangi) — orange, from नारंगी the fruit
- **गुलाबी** (gulaabi) — pink, from गुलाब, a rose
- **बैंगनी** (baingani) — purple, from बैंगन, an aubergine
- **सुनहरा** (sunahra) — golden, from सोना, gold

Once you know the noun, the colour is free.

## Light and dark

हल्का (halka) for light, गहरा (gehra) for dark, placed before: हल्का नीला, light blue. Both follow the same -आ gender rule.

## Asking

""यह किस रंग का है?"" (yeh kis rang ka hai?) — what colour is this? रंग (rang) is the word for colour, and it is the same रंग in Holi, the festival of colours.","colours in hindi, colors in hindi, hindi colour names, laal neela hara, rang hindi","hindi-words-every-beginner-should-know,hindi-body-parts-vocabulary",live
hindi-family-words,What are the family words in Hindi?,"Hindi has a separate word for nearly every relative, because the relationship itself is built into the word. चाचा is your father's younger brother, ताऊ his elder brother, मामा your mother's brother, फूफा your father's sister's husband. English flattens all four into ""uncle"". This is not decoration — using the wrong one tells people something factually incorrect about your family.","## The core

- **माँ / माता जी** (maa / mata ji) — mother
- **पिता जी / पापा** (pita ji / papa) — father
- **भाई** (bhai) — brother
- **बहन** (behen) — sister
- **बेटा / बेटी** (beta / beti) — son / daughter
- **पति / पत्नी** (pati / patni) — husband / wife

## Where it gets specific

**Your father's side:**
- चाचा (chacha) — father's younger brother; his wife is चाची
- ताऊ (taau) — father's elder brother; his wife is ताई
- बुआ (bua) — father's sister; her husband is फूफा

**Your mother's side:**
- मामा (mama) — mother's brother; his wife is मामी
- मौसी (mausi) — mother's sister; her husband is मौसा

**Grandparents:**
- दादा / दादी — father's parents
- नाना / नानी — mother's parents

## Why it is worth the effort

Say ""mere mama"" and every Hindi speaker instantly knows the person is on your mother's side. That is information English simply cannot carry in one word. In a culture where family structure matters, the vocabulary reflects it.

## The shortcut nobody minds

Older strangers get भैया (bhaiya, brother), दीदी (didi, sister), अंकल or आंटी. Age-appropriate, universally accepted, and it buys you time while you learn the real ones.","family words in hindi, hindi family members, chacha mama difference, hindi relatives, rishte hindi","hindi-family-question,hindi-words-every-beginner-should-know",live
